timestamp,git_sha,name,features,train_start,train_end,val_start,val_end,test_start,test_end,holdout_logloss,holdout_brier,realised_spend_cpl,realised_savings_vs_always_buy_pct,notes
2026-05-07T08:14:29.308188+00:00,5d3e99f,marginal_rate_baseline,,2016-08-01,2025-03-17,2025-03-25,2025-06-23,2025-07-01,2025-12-31,0.582126,0.196563,191.78,0.00,constant predictor p=0.2602; computed from real DB 2026-05-07
2026-05-08T21:57:34.596509+00:00,4921353,logreg_cycle_features,cycle_pct_through|cycle_days_since_peak|cycle_mean_length|cycle_last_min_cents|cycle_last_max_cents|cycle_peak_count|station_price_cents|station_minus_last_min_cents|station_minus_last_max_cents|station_minus_sydney_avg_cents,2016-08-01,2025-03-17,2025-03-25,2025-06-23,2025-07-01,2025-12-31,0.402886,0.134644,190.35,0.74,tau=0.40; criterion=max_expected_cents_val_adj+0.05; cost_model=TP+3.0c_FP-1.5c; val_logloss=0.4112; test_logloss=0.4029; val_BUY_rate=0.361; test_BUY_rate=0.269; val_P=0.703/R=0.794/F1=0.746; test_P=0.618/R=0.581/F1=0.599
2026-05-09T05:34:32.242467+00:00,99d8dfe,logreg_cycle_features,cycle_pct_through|cycle_days_since_peak|cycle_mean_length|cycle_last_min_cents|cycle_last_max_cents|cycle_peak_count|station_price_cents|station_minus_last_min_cents|station_minus_last_max_cents|station_minus_sydney_avg_cents,2016-08-01,2025-03-17,2025-03-25,2025-06-23,2025-07-01,2025-12-31,0.402886,0.134644,,,tau=0.35; criterion=max_expected_cents_val_adj+0.05; cost_model=TP+3.0c_FP-5.8c_FN-11.14c; val_logloss=0.4112; test_logloss=0.4029; val_BUY_rate=0.361; test_BUY_rate=0.269; val_P=0.683/R=0.839/F1=0.753; test_P=0.595/R=0.678/F1=0.634
2026-05-09T10:23:16.400478+00:00,dd82cb4,logreg_cycle_features,cycle_pct_through|cycle_days_since_peak|cycle_mean_length|cycle_last_min_cents|cycle_last_max_cents|cycle_peak_count|station_price_cents|station_minus_last_min_cents|station_minus_last_max_cents|station_minus_sydney_avg_cents,2016-08-01,2025-03-17,2025-03-25,2025-06-23,2025-07-01,2025-12-31,0.402886,0.134644,,,tau=0.30; criterion=max_expected_cents_val_adj+0.05; cost_model=TP+6.37c_FP-5.8c_FN-11.14c; val_logloss=0.4112; test_logloss=0.4029; val_BUY_rate=0.361; test_BUY_rate=0.269; val_P=0.656/R=0.873/F1=0.749; test_P=0.575/R=0.776/F1=0.660
2026-05-11T08:00:41.770614+00:00,87bd867,logreg_calibration_check_raw,cycle_pct_through|cycle_days_since_peak|cycle_mean_length|cycle_last_min_cents|cycle_last_max_cents|cycle_peak_count|station_price_cents|station_minus_last_min_cents|station_minus_last_max_cents|station_minus_sydney_avg_cents,2016-08-01,2025-03-17,2025-03-25,2025-06-23,2025-07-01,2025-12-31,0.347261,0.110498,,,Raw logreg well-calibrated (max |gap| 0.1001); no wrapper applied. Val/train BUY-rate ratio: 1.32 (val 0.320 vs train 0.242 vs test 0.246). Issue 2.3 must not pick a threshold on val without correcting for this elevated positive rate — test mirrors train (ratio ≈1); any val-tuned threshold will be pessimistic on precision at test time.
2026-05-11T08:01:25.885707+00:00,87bd867,logreg_cycle_features,cycle_pct_through|cycle_days_since_peak|cycle_mean_length|cycle_last_min_cents|cycle_last_max_cents|cycle_peak_count|station_price_cents|station_minus_last_min_cents|station_minus_last_max_cents|station_minus_sydney_avg_cents,2016-08-01,2025-03-17,2025-03-25,2025-06-23,2025-07-01,2025-12-31,0.353984,0.119098,,,tau=0.35; criterion=max_expected_cents_val_adj+0.05; cost_model=TP+6.37c_FP-5.8c_FN-11.14c; val_logloss=0.3473; test_logloss=0.3540; val_BUY_rate=0.361; test_BUY_rate=0.269; val_P=0.681/R=0.883/F1=0.769; test_P=0.601/R=0.695/F1=0.645
2026-05-13T21:02:12.782887+00:00,9342e19,lgbm_cycle_features,cycle_pct_through|cycle_days_since_peak|cycle_mean_length|cycle_last_min_cents|cycle_last_max_cents|cycle_peak_count|station_price_cents|station_minus_last_min_cents|station_minus_last_max_cents|station_minus_sydney_avg_cents,2016-08-01,2025-03-17,2025-03-25,2025-06-23,2025-07-01,2025-12-31,0.344422,0.110992,,,tau=0.65; criterion=max_expected_cents_val_adj+0.05; cost_model=TP+6.37c_FP-5.8c_FN-11.14c; val_logloss=0.3613; test_logloss=0.3444; val_BUY_rate=0.320; test_BUY_rate=0.246; val_P=0.737/R=0.889/F1=0.806; test_P=0.663/R=0.758/F1=0.707
2026-05-17T07:18:05.383546+00:00,5111224,logreg_calibration_check_raw,cycle_pct_through|cycle_days_since_peak|cycle_mean_length|cycle_last_min_cents|cycle_last_max_cents|cycle_peak_count|station_price_cents|station_minus_last_min_cents|station_minus_last_max_cents|station_minus_sydney_avg_cents,2016-08-01,2025-03-17,2025-03-25,2025-06-23,2025-07-01,2025-12-31,0.347261,0.110498,,,Raw logreg well-calibrated (max |gap| 0.1001); no wrapper applied. Val/train BUY-rate ratio: 1.32 (val 0.320 vs train 0.242 vs test 0.246). Issue 2.3 must not pick a threshold on val without correcting for this elevated positive rate — test mirrors train (ratio ≈1); any val-tuned threshold will be pessimistic on precision at test time.
2026-05-17T07:20:55.793152+00:00,5111224,lgbm_cat_calibration_check_isotonic,cycle_pct_through|cycle_days_since_peak|cycle_mean_length|cycle_last_min_cents|cycle_last_max_cents|cycle_peak_count|station_price_cents|station_minus_last_min_cents|station_minus_last_max_cents|station_minus_sydney_avg_cents|station_code,2016-08-01,2025-03-17,2025-03-25,2025-06-23,2025-07-01,2025-12-31,0.369654,0.120661,,,Calibration applied (isotonic); raw logloss 0.3806 → 0.3697. Val/train BUY-rate ratio: 1.32 (val 0.320 vs train 0.242 vs test 0.246). Issue 2.3 must not pick a threshold on val without correcting for this elevated positive rate — test mirrors train (ratio ≈1); any val-tuned threshold will be pessimistic on precision at test time.
2026-05-24T01:53:08.039719+00:00,58fd48d,lgbm_calibration_check_isotonic,cycle_pct_through|cycle_days_since_peak|cycle_mean_length|cycle_last_min_cents|cycle_last_max_cents|cycle_peak_count|station_price_cents|station_minus_last_min_cents|station_minus_last_max_cents|station_minus_sydney_avg_cents|lga_mean_cents|station_minus_lga_mean_cents|brand_mean_cents|station_minus_brand_mean_cents,2016-08-01,2025-03-17,2025-03-25,2025-06-23,2025-07-01,2025-12-31,0.352556,0.113346,,,Calibration applied (isotonic); raw logloss 0.3797 → 0.3526. Val/train BUY-rate ratio: 1.32 (val 0.320 vs train 0.242 vs test 0.246). Issue 2.3 must not pick a threshold on val without correcting for this elevated positive rate — test mirrors train (ratio ≈1); any val-tuned threshold will be pessimistic on precision at test time.
